Yr, Mth, Dy, Hr, Hr(total),NO,NO2,O3,NO3,N2O5,OH,HO2,HNO3,PNA,CO,FORM,ALD2,PAN,CH4,MEO2,MEOH,ISOP,MVK,MACR,APIN,BPIN,LIMN,MYRC,BCAR,IAO2,IBO2,IPOX,PALD,MGLY,SO2,SO3,NH3,HCL,EC25,EC10,OC10,OT25,OT10,NH4,NIT,ASO4,AS10,SS25,SS10,AOA1,AOA2,AOA3,AOA4,AOA5,AOA6,AOA7,AOA8,APA1,APA2,APA3,APA4,APA5,APA6,APA7,APA8,APA9,BOA1,BOA2,BOA3,BOA4,BOA5,BOA6,OOA,SOD,CL,LEVO,MAG,CAL,POT,DU02,DU05,DU10,DU20,DU40,DU60,ws (m/s),wd (deg),T (degC),RH (%),pbl (m),pressure (hPa),prcp (mm/hr)
2013,01,01,00,   1,0.4204    ,0.6418    , 20.17    ,0.1989E-04,0.2625E-05,0.1355E-03,0.1514E-01,0.3937E-04,0.1131E-02, 67.33    ,0.5437    ,0.1635    ,0.2679E-01, 1724.    ,0.1687E-02,0.7135    , 3.301    ,0.1241    ,0.1094    ,0.7891E-01,0.3537E-01,0.2274E-01,0.2268E-01,0.1052E-01,0.7429E-02,0.4786E-02,0.1228E-02,0.5130E-02,0.1897E-01,0.1019E-02,0.2528E-04,0.9714    ,0.5067    ,0.1492E-01,0.4593E-03,0.9275E-02,0.1131    ,0.8027E-01,0.1004E-03,0.9195E-01,0.9096    ,0.5527E-02, 3.678    , 4.667    ,0.7847E-03,0.6095E-03,0.5539E-03,0.2349E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3650E-02,0.6767E-03,0.2084E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.5012E-03,0.2489E-03,0.4973E-02,0.3319E-02,0.6854E-03,0.1189E-03,0.5242    , 1.446    , 1.534    ,0.1053E-03,0.1052E-03,0.1053E-03,0.1053E-03,0.1054E-03,0.1002E-03,0.1003E-03,0.1008E-03,0.1098E-03,0.1119E-03, 5.504    , 283.0    , 32.51    , 19.69    , 2480.    , 982.3    , 0.000    
2013,01,01,01,   2,0.3180    ,0.5874    , 23.83    ,0.2622E-04,0.2170E-05,0.1125E-03,0.2407E-01,0.4165E-04,0.1089E-02, 67.30    , 1.310    ,0.2967    ,0.3333E-01, 1720.    ,0.3277E-02, 1.197    , 5.063    ,0.2116    ,0.2630    ,0.1238    ,0.5555E-01,0.3353E-01,0.3250E-01,0.1449E-01,0.1135E-01,0.7158E-02,0.8267E-02,0.1795E-01,0.5065E-01,0.1795E-02,0.2675E-04,0.8735    ,0.5684    ,0.1576E-01,0.4615E-03,0.8884E-02,0.1182    ,0.6039E-01,0.1007E-03,0.1661    ,0.9157    ,0.3587E-02, 3.025    , 2.396    ,0.2033E-02,0.1969E-02,0.1682E-02,0.4278E-03,0.1014E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.5144E-02,0.7918E-03,0.1710E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1201E-02,0.3545E-03,0.1225E-01,0.7847E-02,0.1515E-02,0.2121E-03,0.5427    , 1.189    , 1.064    ,0.1093E-03,0.1126E-03,0.1108E-03,0.1107E-03,0.1096E-03,0.1001E-03,0.1003E-03,0.1009E-03,0.1143E-03,0.1261E-03, 6.433    , 272.8    , 36.27    , 9.904    , 3623.    , 980.6    , 0.000    
2013,01,01,02,   3,0.2830    ,0.5430    , 24.74    ,0.2581E-04,0.1630E-05,0.9225E-04,0.2644E-01,0.4203E-04,0.8919E-03, 66.93    , 1.450    ,0.3571    ,0.2777E-01, 1706.    ,0.3671E-02, 1.465    , 6.165    ,0.2109    ,0.3281    ,0.1502    ,0.6872E-01,0.4073E-01,0.3881E-01,0.1668E-01,0.1259E-01,0.7818E-02,0.1361E-01,0.2833E-01,0.5045E-01,0.2341E-02,0.2691E-04,0.7796    ,0.5898    ,0.1582E-01,0.4484E-03,0.8505E-02,0.1194    ,0.4773E-01,0.1009E-03,0.2417    ,0.8954    ,0.2549E-02, 2.731    , 1.500    ,0.3776E-02,0.6231E-02,0.3662E-02,0.6370E-03,0.1023E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.5499E-02,0.8606E-03,0.1531E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1776E-02,0.4040E-03,0.1741E-01,0.1015E-01,0.2001E-02,0.2711E-03,0.5490    , 1.074    ,0.8603    ,0.1115E-03,0.1206E-03,0.1148E-03,0.1147E-03,0.1120E-03,0.1001E-03,0.1003E-03,0.1010E-03,0.1117E-03,0.1479E-03, 7.004    , 269.6    , 37.96    , 7.637    , 4226.    , 979.9    , 0.000    
2013,01,01,03,   4,0.2791    ,0.5425    , 25.55    ,0.2646E-04,0.1560E-05,0.8592E-04,0.2637E-01,0.4237E-04,0.8275E-03, 67.38    , 1.441    ,0.3740    ,0.2304E-01, 1715.    ,0.3485E-02, 1.562    , 6.601    ,0.1992    ,0.3191    ,0.1599    ,0.7400E-01,0.4380E-01,0.4150E-01,0.1720E-01,0.1275E-01,0.7876E-02,0.1403E-01,0.3208E-01,0.4455E-01,0.2608E-02,0.2699E-04,0.7038    ,0.6242    ,0.1598E-01,0.4527E-03,0.8500E-02,0.1196    ,0.4319E-01,0.1006E-03,0.3682    ,0.8567    ,0.2053E-02, 2.403    , 1.066    ,0.6809E-02,0.1438E-01,0.6271E-02,0.8785E-03,0.1033E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.6150E-02,0.9733E-03,0.1556E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.2253E-02,0.4443E-03,0.1930E-01,0.9965E-02,0.2165E-02,0.2994E-03,0.5451    ,0.9446    ,0.6173    ,0.1125E-03,0.1271E-03,0.1171E-03,0.1170E-03,0.1130E-03,0.1001E-03,0.1003E-03,0.1011E-03,0.1193E-03,0.1593E-03, 7.289    , 266.1    , 38.50    , 6.746    , 4397.    , 978.8    , 0.000    
2013,01,01,04,   5,0.2580    ,0.5542    , 26.73    ,0.2951E-04,0.1745E-05,0.7717E-04,0.2552E-01,0.4262E-04,0.8133E-03, 67.65    , 1.497    ,0.3865    ,0.2269E-01, 1720.    ,0.3363E-02, 1.611    , 6.664    ,0.1908    ,0.2886    ,0.1608    ,0.7489E-01,0.4430E-01,0.4192E-01,0.1631E-01,0.1240E-01,0.7616E-02,0.1471E-01,0.3217E-01,0.4445E-01,0.3463E-02,0.2700E-04,0.6520    ,0.6810    ,0.1530E-01,0.4569E-03,0.8601E-02,0.1194    ,0.4338E-01,0.1014E-03,0.5022    ,0.8312    ,0.1940E-02, 2.184    ,0.8784    ,0.1289E-01,0.2918E-01,0.9732E-02,0.1128E-02,0.1077E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.7371E-02,0.1027E-02,0.1513E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.2655E-02,0.4755E-03,0.2068E-01,0.1039E-01,0.2333E-02,0.3455E-03,0.5415    ,0.8584    ,0.4265    ,0.1128E-03,0.1468E-03,0.1244E-03,0.1240E-03,0.1134E-03,0.1001E-03,0.1003E-03,0.1013E-03,0.1283E-03,0.1602E-03, 7.181    , 264.4    , 38.54    , 6.244    , 4320.    , 978.4    , 0.000    
2013,01,01,05,   6,0.2387    ,0.5924    , 27.89    ,0.3490E-04,0.2229E-05,0.6766E-04,0.2375E-01,0.4259E-04,0.8247E-03, 67.80    , 1.538    ,0.3926    ,0.2272E-01, 1721.    ,0.3089E-02, 1.656    , 6.580    ,0.1841    ,0.2672    ,0.1599    ,0.7529E-01,0.4448E-01,0.4194E-01,0.1491E-01,0.1158E-01,0.7083E-02,0.1454E-01,0.3081E-01,0.4375E-01,0.3886E-02,0.2700E-04,0.6121    ,0.7316    ,0.1495E-01,0.4635E-03,0.8833E-02,0.1197    ,0.4472E-01,0.1012E-03,0.6445    ,0.8119    ,0.1950E-02, 2.034    ,0.7882    ,0.2275E-01,0.4971E-01,0.1318E-01,0.1409E-02,0.1310E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.8592E-02,0.1099E-02,0.1577E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3019E-02,0.5059E-03,0.2258E-01,0.1157E-01,0.2606E-02,0.3697E-03,0.5408    ,0.7997    ,0.2690    ,0.1131E-03,0.2163E-03,0.1455E-03,0.1444E-03,0.1137E-03,0.1001E-03,0.1003E-03,0.1016E-03,0.1304E-03,0.1612E-03, 7.009    , 264.6    , 38.35    , 5.945    , 4120.    , 977.9    , 0.000    
2013,01,01,06,   7,0.2116    ,0.6629    , 28.47    ,0.4435E-04,0.3347E-05,0.5704E-04,0.2092E-01,0.4212E-04,0.8583E-03, 67.70    , 1.538    ,0.3827    ,0.2250E-01, 1721.    ,0.2645E-02, 1.640    , 6.106    ,0.1761    ,0.2379    ,0.1567    ,0.7559E-01,0.4476E-01,0.4189E-01,0.1314E-01,0.1023E-01,0.6213E-02,0.1214E-01,0.2758E-01,0.4137E-01,0.4906E-02,0.2695E-04,0.5799    ,0.7844    ,0.1458E-01,0.4830E-03,0.9257E-02,0.1196    ,0.4698E-01,0.1008E-03,0.7834    ,0.7967    ,0.2009E-02, 1.936    ,0.7476    ,0.3519E-01,0.6754E-01,0.1649E-01,0.1698E-02,0.1611E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1004E-01,0.1194E-02,0.1700E-03,0.1004E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3367E-02,0.5380E-03,0.2378E-01,0.1249E-01,0.2837E-02,0.4211E-03,0.5400    ,0.7610    ,0.1414    ,0.1132E-03,0.2810E-03,0.1669E-03,0.1651E-03,0.1139E-03,0.1001E-03,0.1004E-03,0.1020E-03,0.1329E-03,0.1653E-03, 6.586    , 262.4    , 37.89    , 6.019    , 3873.    , 978.3    , 0.000    
2013,01,01,07,   8,0.1649    ,0.8442    , 28.27    ,0.6860E-04,0.7758E-05,0.4435E-04,0.1764E-01,0.4178E-04,0.1065E-02, 68.59    , 1.537    ,0.3689    ,0.2436E-01, 1718.    ,0.2086E-02, 1.622    , 5.140    ,0.1743    ,0.2110    ,0.1602    ,0.8169E-01,0.4875E-01,0.4479E-01,0.1108E-01,0.8526E-02,0.5125E-02,0.9081E-02,0.2295E-01,0.3987E-01,0.1356E-01,0.2683E-04,0.5738    ,0.8374    ,0.1562E-01,0.7349E-03,0.1355E-01,0.1220    ,0.6042E-01,0.1007E-03,0.9203    ,0.7959    ,0.2520E-02, 1.935    ,0.9248    ,0.4699E-01,0.8406E-01,0.1945E-01,0.2014E-02,0.1928E-03,0.1001E-03,0.1000E-03,0.1000E-03,0.1386E-01,0.1411E-02,0.2221E-03,0.1016E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3683E-02,0.5692E-03,0.2577E-01,0.1378E-01,0.3220E-02,0.4818E-03,0.5391    ,0.7603    ,0.6237E-01,0.1132E-03,0.5720E-03,0.2601E-03,0.2551E-03,0.1139E-03,0.1003E-03,0.1004E-03,0.1023E-03,0.1476E-03,0.1795E-03, 5.525    , 255.1    , 36.63    , 6.547    , 2645.    , 978.6    , 0.000    
2013,01,01,08,   9,0.1206    , 1.568    , 25.32    ,0.1448E-03,0.5016E-04,0.3517E-04,0.1513E-01,0.5849E-04,0.2682E-02, 72.59    , 1.642    ,0.4192    ,0.3676E-01, 1704.    ,0.1333E-02, 1.938    , 3.618    ,0.1992    ,0.2104    ,0.2374    ,0.1358    ,0.8136E-01,0.7149E-01,0.9425E-02,0.6627E-02,0.3988E-02,0.5384E-02,0.1590E-01,0.4246E-01,0.3631E-01,0.2649E-04,0.5792    ,0.8683    ,0.2227E-01,0.1911E-02,0.3680E-01,0.1362    ,0.1090    ,0.1059E-03, 1.053    ,0.8081    ,0.3674E-02, 2.039    , 1.425    ,0.5870E-01,0.1085    ,0.2562E-01,0.2698E-02,0.2661E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.2637E-01,0.2345E-02,0.6201E-03,0.1516E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3953E-02,0.6022E-03,0.3946E-01,0.2048E-01,0.5276E-02,0.8287E-03,0.5357    ,0.7970    ,0.4016E-01,0.1123E-03,0.2488E-02,0.8736E-03,0.8476E-03,0.1135E-03,0.1052E-03,0.1005E-03,0.1043E-03,0.1842E-03,0.1867E-03, 2.734    , 244.5    , 32.86    , 11.56    , 943.6    , 979.2    , 0.000    
2013,01,01,09,  10,0.4351E-01, 2.369    , 20.70    ,0.2483E-03,0.1994E-03,0.2141E-04,0.1216E-01,0.2350E-03,0.5315E-02, 74.52    , 1.557    ,0.4550    ,0.5094E-01, 1693.    ,0.9329E-03, 2.248    , 1.308    ,0.1586    ,0.1632    ,0.3139    ,0.1978    ,0.1115    ,0.9403E-01,0.7425E-02,0.3645E-02,0.2053E-02,0.2922E-02,0.8743E-02,0.3768E-01,0.4616E-01,0.2616E-04,0.5466    ,0.8646    ,0.2919E-01,0.2614E-02,0.4939E-01,0.1504    ,0.1449    ,0.1448E-03, 1.126    ,0.8188    ,0.4582E-02, 2.141    , 1.689    ,0.6565E-01,0.1210    ,0.2881E-01,0.3111E-02,0.3140E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.3712E-01,0.3428E-02,0.1312E-02,0.3147E-03,0.1005E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.1000E-03,0.4212E-02,0.6236E-03,0.6032E-01,0.2763E-01,0.7820E-02,0.1260E-02,0.5327    ,0.8308    ,0.5123E-01,0.1115E-03,0.4897E-02,0.1645E-02,0.1593E-02,0.1133E-03,0.1104E-03,0.1098E-03,0.1119E-03,0.1892E-03,0.1899E-03, 2.713    , 244.7    , 29.06    , 18.25    , 148.9    , 979.5    , 0.000    
